instantly_lead_id,email,first_name,last_name,company_name,website,phone,personalization,custom_variables,Verification_Status
01a0b472-1b5d-730a-91d8-7ebc8e106a58,e.leprive@klik-studio.com,Les,,Les passantes,les-passantes.fr,,,"{""firstName"": ""Les"", ""companyName"": ""Les passantes"", ""naf"": """", ""city"": ""Houlgate"", ""type"": ""French restaurant"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": """", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""French restaurant, Restaurant"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54e-4e90-79f9-9bf4-92ad1accface,help@partoo.fr,Bistrot,,Bistrot XVIII - Bar Paris 18,bistrotxviii.fr/fr,,,"{""firstName"": ""Bistrot"", ""companyName"": ""Bistrot XVIII - Bar Paris 18"", ""naf"": """", ""city"": ""Paris"", ""type"": ""Brasserie"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": """", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Brasserie, Caf\u00e9, Pizzeria, Restaurant, Bar, Bar sportif"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Catch All
01a0b54e-5019-79ee-9967-91387c6f54fd,support@o2switch.fr,Margaux,,Margaux,restaurantmargaux.com,,,"{""firstName"": ""Margaux"", ""companyName"": ""Margaux"", ""naf"": """", ""city"": ""Paris"", ""type"": ""Restaurant fran\u00e7ais"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": ""restaurants"", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant fran\u00e7ais"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54e-75c2-76e8-96a4-4c66cb37a2cd,utilisateur@domaine.com,La,,La Passerelle,lapasserelle-marcq.fr,,,"{""firstName"": ""La"", ""companyName"": ""La Passerelle"", ""naf"": """", ""city"": ""Marcq-en-Bar\u0153ul"", ""type"": ""Restaurant"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": """", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant, Bar, Restaurant brunch, Restaurant fran\u00e7ais, Pub (Cuisine gastronomique), Bar \u00e0 vin, Caviste"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Catch All
01a0b54e-77d1-76a0-9b72-84cc67c1c4e2,copyright@x.com,Al,,Al Gayolle - Tabac Brasserie,algayolle.wordpress.com,,,"{""firstName"": ""Al"", ""companyName"": ""Al Gayolle - Tabac Brasserie"", ""naf"": """", ""city"": ""Hallennes-lez-Haubourdin"", ""type"": ""Restaurant"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": ""bars"", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant, Bar PMU, Brasserie, Magasin de cannabis, Restaurant familial, Restaurant fran\u00e7ais, Marchand de journaux, Restaurant de sp\u00e9cialit\u00e9s asiatiques, Bar-tabac, Boutique de cigarettes \u00e9lectroniques"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Catch All
01a0b54e-8191-747b-8a7b-b60677ee7a7b,contact@comartiweb.fr,La,,La Fringale Pataterie,lafringale-noyon.fr,,,"{""firstName"": ""La"", ""companyName"": ""La Fringale Pataterie"", ""naf"": """", ""city"": ""Noyon"", ""type"": ""Restaurant fran\u00e7ais"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": ""restaurants"", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant fran\u00e7ais"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54e-a763-7cfa-abc2-a94e28f23cd7,contact@multi-web.fr,Le,,Le BaRResto Pizzeria,le-barresto.com,,,"{""firstName"": ""Le"", ""companyName"": ""Le BaRResto Pizzeria"", ""naf"": """", ""city"": ""Mende"", ""type"": ""Restaurant"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": ""restaurants"", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant, Pizzeria"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54e-b133-7f5e-bf42-ac138ba78916,contact@local.fr,Le,,Le drem's,ledrems.fr,,,"{""firstName"": ""Le"", ""companyName"": ""Le drem's"", ""naf"": """", ""city"": ""Douvrin"", ""type"": ""Restaurant"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": """", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Catch All
01a0b54e-e65f-716a-ad54-ec5373d21593,contact@hrz.fr,Restaurant,,Restaurant Le Bistrot,lestelsia.com/fr/gastronomie/le-bistrot.html,,,"{""firstName"": ""Restaurant"", ""companyName"": ""Restaurant Le Bistrot"", ""naf"": """", ""city"": ""Saint-Sylvestre-sur-Lot"", ""type"": ""Restaurant"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": """", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant, Brasserie"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54f-00ae-7f6d-b96a-67526ccbd419,contact@ibsnetwork.fr,La,,La Table De Michel Dussau,la-table-agen.com,,,"{""firstName"": ""La"", ""companyName"": ""La Table De Michel Dussau"", ""naf"": """", ""city"": ""Agen"", ""type"": ""Restaurant fran\u00e7ais"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": ""restaurants"", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant fran\u00e7ais"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Catch All
01a0b54f-02f3-7fef-943c-5a78e95db08b,restaurant@marius-btz.com,Restaurant,,Restaurant Marius Biarritz,marius-biarritz.com,,,"{""firstName"": ""Restaurant"", ""companyName"": ""Restaurant Marius Biarritz"", ""naf"": """", ""city"": ""Biarritz"", ""type"": ""Restaurant"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": ""restaurants"", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54f-02f3-7fef-943c-5a7b49c5cbe9,direction.restaurant@tonichotel.net,LMB,,LMB Biarritz Restaurant,lmb-restaurant.fr,,,"{""firstName"": ""LMB"", ""companyName"": ""LMB Biarritz Restaurant"", ""naf"": """", ""city"": ""Biarritz"", ""type"": ""Restaurant fran\u00e7ais"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": ""restaurants"", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant fran\u00e7ais, H\u00f4tel, Restaurant"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54f-02f3-7fef-943c-5a7cfaab54d6,contact@nynjas.com,La,,La Table de Michel,latabledemichel.fr,,,"{""firstName"": ""La"", ""companyName"": ""La Table de Michel"", ""naf"": """", ""city"": ""Biarritz"", ""type"": ""Restaurant"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": ""restaurants"", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54f-02f3-7fef-943c-5a80ba3517e0,capferret@rocseven.com,Restaurant,,Restaurant Roc Seven Biarritz,fahrenheitseven.com/les-destinations/roc-seven-biarritz.html,,,"{""firstName"": ""Restaurant"", ""companyName"": ""Restaurant Roc Seven Biarritz"", ""naf"": """", ""city"": ""Biarritz"", ""type"": ""Restaurant"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": ""restaurants"", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54f-02f3-7fef-943c-5a82d276f7e0,communication@hotelwindsorbiarritz.com,Chez,,Chez Eugénie Biarritz,chezeugeniebiarritz.com,,,"{""firstName"": ""Chez"", ""companyName"": ""Chez Eug\u00e9nie Biarritz"", ""naf"": """", ""city"": ""Biarritz"", ""type"": ""Restaurant fran\u00e7ais"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": ""restaurants"", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant fran\u00e7ais, Bistro, Bar \u00e0 cocktails, Restaurant de poisson, Restaurant de fruits de mer, Restaurant v\u00e9g\u00e9tarien"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54f-02f3-7fef-943c-5a83ee59fcd4,domiguiroy@gmail.com,Restaurant,,Restaurant LTB-La Table Basque Studio-Hôtel,restaurant-ltb-biarritz.com,,,"{""firstName"": ""Restaurant"", ""companyName"": ""Restaurant LTB-La Table Basque Studio-H\u00f4tel"", ""naf"": """", ""city"": ""Biarritz"", ""type"": ""Restaurant basque"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": ""Restaurant basque"", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant basque, H\u00f4tel"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54f-02f3-7fef-943c-5a84e1692b12,maisonplaisir64@gmail.com,Maison,,Maison plaisir,maisonplaisirbiarritz.com,,,"{""firstName"": ""Maison"", ""companyName"": ""Maison plaisir"", ""naf"": """", ""city"": ""Biarritz"", ""type"": ""Restaurant"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": ""restaurants"", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant, Bar, Restaurant brunch, Bar \u00e0 cocktails"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54f-02f3-7fef-943c-5a85aab26bfd,ce.0641823j@ac-bordeaux.fr,Restaurant,,Restaurant Biarritz Atlantique - Lycée Hôtelier,ecolehotelierebiarritz.fr/hotel-et-restaurant,,,"{""firstName"": ""Restaurant"", ""companyName"": ""Restaurant Biarritz Atlantique - Lyc\u00e9e H\u00f4telier"", ""naf"": """", ""city"": ""Biarritz"", ""type"": ""Restaurant"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": """", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant, Restaurant fran\u00e7ais"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Catch All
01a0b54f-02f3-7fef-943c-5a87dc593978,aude.locatelli75@gmail.com,ZOU,,ZOU - cuisine méditerranéenne,zou-biarritz.com,,,"{""firstName"": ""ZOU"", ""companyName"": ""ZOU - cuisine m\u00e9diterran\u00e9enne"", ""naf"": """", ""city"": ""Biarritz"", ""type"": ""Restaurant"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": """", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54f-02f3-7fef-943c-5a8876fc8f67,communication@legarage-biarritz.fr,Le,,Le Restaurant du Garage,hotel-garage-biarritz.fr/neo-bistrot,,,"{""firstName"": ""Le"", ""companyName"": ""Le Restaurant du Garage"", ""naf"": """", ""city"": ""Biarritz"", ""type"": ""Restaurant"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": """", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54f-02f3-7fef-943c-5a893ca24173,lambassadedesterroirs@gmail.com,L'Ambassade,,L'Ambassade des Terroirs,lambassadedesterroirs.fr,,,"{""firstName"": ""L'Ambassade"", ""companyName"": ""L'Ambassade des Terroirs"", ""naf"": """", ""city"": ""Gennevilliers"", ""type"": ""Restaurant fran\u00e7ais"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": ""restaurants"", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant fran\u00e7ais"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54f-05f4-7463-96d2-056a1f4e9729,homvinbelle@gmail.com,L'Auberge,,L'Auberge de la Roseraie,aubergedelaroseraie.com,,,"{""firstName"": ""L'Auberge"", ""companyName"": ""L'Auberge de la Roseraie"", ""naf"": """", ""city"": ""Gennevilliers"", ""type"": ""Restaurant"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": ""restaurants"", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant, Restaurant fran\u00e7ais"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54f-05f4-7463-96d2-056bedec57e3,reservation@restaurant-alchimiste.fr,L',,L' Alchimiste,restaurant-alchimiste.fr,,,"{""firstName"": ""L'"", ""companyName"": ""L' Alchimiste"", ""naf"": """", ""city"": ""Gennevilliers"", ""type"": ""Restaurant fran\u00e7ais"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": ""restaurants"", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant fran\u00e7ais, Restaurant de hamburgers, Restaurant m\u00e9diterran\u00e9en"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54f-05f4-7463-96d2-056d6a44b7fd,esat-bouleaux@apei-bs.asso.fr,La,,La Croisée des Chemins,ateliers-atbs.fr/restauration,,,"{""firstName"": ""La"", ""companyName"": ""La Crois\u00e9e des Chemins"", ""naf"": """", ""city"": ""Gennevilliers"", ""type"": ""Restaurant"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": ""restaurants"", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54f-05f4-7463-96d2-05709b26d3f8,elyesseyanis@gmail.com,Au,,Au Père Tout Va Bien,auperetoutvabien.eatbu.com/%3flang%3dfr,,,"{""firstName"": ""Au"", ""companyName"": ""Au P\u00e8re Tout Va Bien"", ""naf"": """", ""city"": ""Gennevilliers"", ""type"": ""Restaurant servant du couscous"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": ""restaurants"", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant servant du couscous, Bar, Restaurant"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54f-05f4-7463-96d2-05727750e4da,ael.funda@gmail.com,Restaurant,,Restaurant ZERIN,zerin-restaurant.eatbu.com/%3flang%3dfr,,,"{""firstName"": ""Restaurant"", ""companyName"": ""Restaurant ZERIN"", ""naf"": """", ""city"": ""Gennevilliers"", ""type"": ""Restaurant"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": ""restaurants"", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant, Restaurant m\u00e9diterran\u00e9en, Restaurant turc"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54f-05f4-7463-96d2-05745ba56f71,contact@lucienetlacocotte.fr,Lucien,,Lucien & La Cocotte | Restaurant Massy (91),lucienetlacocotte.fr,,,"{""firstName"": ""Lucien"", ""companyName"": ""Lucien & La Cocotte | Restaurant Massy (91)"", ""naf"": """", ""city"": ""Massy"", ""type"": ""Restaurant"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": """", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54f-05f4-7463-96d2-0576d9c98dc5,labonnepiste@hotmail.fr,La,,La Bonne Piste restaurant Massy,labonnepiste.fr,,,"{""firstName"": ""La"", ""companyName"": ""La Bonne Piste restaurant Massy"", ""naf"": """", ""city"": ""Massy"", ""type"": ""Restaurant"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": """", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant, Restaurant fran\u00e7ais"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54f-05f4-7463-96d2-0577651083dd,h1176-fb@accor.com,AROME,,AROME,arome-restaurant.fr/fr/%3futm_source%3dgoogle%2bmaps%26utm_medium%3dseo%2bmaps%26utm_campaign%3dseo%2bmaps,,,"{""firstName"": ""AROME"", ""companyName"": ""AROME"", ""naf"": """", ""city"": ""Massy"", ""type"": ""Cuisine fran\u00e7aise moderne"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": """", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Cuisine fran\u00e7aise moderne, Restaurant de cuisine traditionnelle"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Catch All
01a0b54f-05f4-7463-96d2-057997d2d031,lebistrothai@gmail.com,Le,,Le Bistro d'Edgard,bistroedgard91.fr,,,"{""firstName"": ""Le"", ""companyName"": ""Le Bistro d'Edgard"", ""naf"": """", ""city"": ""Massy"", ""type"": ""Restaurant tha\u00ef"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": """", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant tha\u00ef"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54f-05f4-7463-96d2-057aeb831bb4,roadtoques@gmail.com,Au,,Au Toqué,autoque.fr,,,"{""firstName"": ""Au"", ""companyName"": ""Au Toqu\u00e9"", ""naf"": """", ""city"": ""Verri\u00e8res-le-Buisson"", ""type"": ""Restaurant"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": """", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant, Bistro, Pub (Cuisine gastronomique), Restaurant gastronomique, Cuisine fran\u00e7aise moderne"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54f-05f4-7463-96d2-057cfe0fcd4b,restaurant@ar-skewell.fr,Ar,,Ar Skewell,ar-skewell.fr,,,"{""firstName"": ""Ar"", ""companyName"": ""Ar Skewell"", ""naf"": """", ""city"": ""Massy"", ""type"": ""Restaurant"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": """", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant, Bar \u00e0 bi\u00e8res"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54f-05f4-7463-96d2-057d1ed42a7f,franck.naude@groupeplf.com,Les,,Les Moulins Bleus,lesmoulinsbleus.com,,,"{""firstName"": ""Les"", ""companyName"": ""Les Moulins Bleus"", ""naf"": """", ""city"": ""Massy"", ""type"": ""Restaurant"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": """", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant, Restaurant italien, Pizzeria"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54f-05f4-7463-96d2-057e3ad6cdea,lagrangeauxdimes91@gmail.com,La,,La Grange aux Dîmes,lagrangeauxdimes.com,,,"{""firstName"": ""La"", ""companyName"": ""La Grange aux D\u00eemes"", ""naf"": """", ""city"": ""Wissous"", ""type"": ""Restaurant fran\u00e7ais"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": """", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant fran\u00e7ais, Espace \u00e9v\u00e9nementiel, Restaurant, Lieu de mariage"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54f-05f4-7463-96d2-058151f06401,vendome@hando-paris.fr,HANDO,,HANDO Parisian Handroll Sèvres,handroll.fr,,,"{""firstName"": ""HANDO"", ""companyName"": ""HANDO Parisian Handroll S\u00e8vres"", ""naf"": """", ""city"": ""Paris"", ""type"": ""Restaurant japonais"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": """", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant japonais"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54f-05f4-7463-96d2-05837413e0b0,victor96@hotmail.fr,Ma,,Ma Table en Ville,matableenville.fr,,,"{""firstName"": ""Ma"", ""companyName"": ""Ma Table en Ville"", ""naf"": """", ""city"": ""M\u00e2con"", ""type"": ""Restaurant fran\u00e7ais"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": """", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant fran\u00e7ais, Cuisine europ\u00e9enne, Cuisine fran\u00e7aise moderne, Restaurant"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
