instantly_lead_id,email,first_name,last_name,company_name,website,phone,personalization,custom_variables,Verification_Status
01a0b472-1b5d-730a-91d8-7ebc8e106a58,e.leprive@klik-studio.com,Les,,Les passantes,les-passantes.fr,,,"{""firstName"": ""Les"", ""companyName"": ""Les passantes"", ""naf"": """", ""city"": ""Houlgate"", ""type"": ""French restaurant"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": """", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""French restaurant, Restaurant"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54e-4e90-79f9-9bf4-9299576a5d9c,jean.dupont@gmail.com,La,,La Brasserie Parisienne,labrasserieparisienne.com,,,"{""firstName"": ""La"", ""companyName"": ""La Brasserie Parisienne"", ""naf"": """", ""city"": ""Compi\u00e8gne"", ""type"": ""Brasserie"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": ""restaurants"", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Brasserie, Bar \u00e0 cocktails, Caf\u00e9, Espace \u00e9v\u00e9nementiel, Restaurant fran\u00e7ais, Pizzas \u00e0 emporter, Restaurant, Restaurant v\u00e9g\u00e9tarien"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Invalid
01a0b54e-4e90-79f9-9bf4-92ad1accface,help@partoo.fr,Bistrot,,Bistrot XVIII - Bar Paris 18,bistrotxviii.fr/fr,,,"{""firstName"": ""Bistrot"", ""companyName"": ""Bistrot XVIII - Bar Paris 18"", ""naf"": """", ""city"": ""Paris"", ""type"": ""Brasserie"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": """", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Brasserie, Caf\u00e9, Pizzeria, Restaurant, Bar, Bar sportif"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Catch All
01a0b54e-5019-79ee-9967-91387c6f54fd,support@o2switch.fr,Margaux,,Margaux,restaurantmargaux.com,,,"{""firstName"": ""Margaux"", ""companyName"": ""Margaux"", ""naf"": """", ""city"": ""Paris"", ""type"": ""Restaurant fran\u00e7ais"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": ""restaurants"", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant fran\u00e7ais"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54e-75c2-76e8-96a4-4c66cb37a2cd,utilisateur@domaine.com,La,,La Passerelle,lapasserelle-marcq.fr,,,"{""firstName"": ""La"", ""companyName"": ""La Passerelle"", ""naf"": """", ""city"": ""Marcq-en-Bar\u0153ul"", ""type"": ""Restaurant"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": """", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant, Bar, Restaurant brunch, Restaurant fran\u00e7ais, Pub (Cuisine gastronomique), Bar \u00e0 vin, Caviste"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Catch All
01a0b54e-77d1-76a0-9b72-84cc67c1c4e2,copyright@x.com,Al,,Al Gayolle - Tabac Brasserie,algayolle.wordpress.com,,,"{""firstName"": ""Al"", ""companyName"": ""Al Gayolle - Tabac Brasserie"", ""naf"": """", ""city"": ""Hallennes-lez-Haubourdin"", ""type"": ""Restaurant"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": ""bars"", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant, Bar PMU, Brasserie, Magasin de cannabis, Restaurant familial, Restaurant fran\u00e7ais, Marchand de journaux, Restaurant de sp\u00e9cialit\u00e9s asiatiques, Bar-tabac, Boutique de cigarettes \u00e9lectroniques"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Catch All
01a0b54e-8191-747b-8a7b-b60677ee7a7b,contact@comartiweb.fr,La,,La Fringale Pataterie,lafringale-noyon.fr,,,"{""firstName"": ""La"", ""companyName"": ""La Fringale Pataterie"", ""naf"": """", ""city"": ""Noyon"", ""type"": ""Restaurant fran\u00e7ais"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": ""restaurants"", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant fran\u00e7ais"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54e-a763-7cfa-abc2-a94e28f23cd7,contact@multi-web.fr,Le,,Le BaRResto Pizzeria,le-barresto.com,,,"{""firstName"": ""Le"", ""companyName"": ""Le BaRResto Pizzeria"", ""naf"": """", ""city"": ""Mende"", ""type"": ""Restaurant"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": ""restaurants"", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant, Pizzeria"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Valid
01a0b54e-aab8-72c7-b227-deef5d9041d4,sholby@sholby.net,Club,,Club Caraïbes - Bokit,clubcaraibes.fr,,,"{""firstName"": ""Club"", ""companyName"": ""Club Cara\u00efbes - Bokit"", ""naf"": """", ""city"": ""Chambly"", ""type"": ""Restaurant"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": ""restaurants"", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Unknown
01a0b54e-ad9f-7883-a16f-e3895e6e8531,contact@mysite.com,Casa,,Casa del Gusto,casadelgusto57.fr,,,"{""firstName"": ""Casa"", ""companyName"": ""Casa del Gusto"", ""naf"": """", ""city"": ""Amn\u00e9ville"", ""type"": ""Restaurant"", ""niche"": ""Restaurants ind\u00e9pendants (France)"", ""siren"": """", ""siret"": """", ""service"": ""Restauration"", ""category"": ""restaurants"", ""effectif"": """", ""subniche"": ""Restaurants ind\u00e9pendants (France)"", ""subtypes"": ""Restaurant, Restaurant italien"", ""lead_score"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",Invalid
